Name,WindDirection,Period,Temperature,MaximumTemperature,Visibility,Latitude,WindSpeed,HeatIndex,CloudCover,MinimumTemperature,Datetime,Precipitation,SnowDepth,SeaLevelPressure,DewPoint,Name,RelativeHumidity,ID,PrecipitationCover,WindGust,WindChill,Longitude
india,236.12,Jan,13.6,31.1,1.5,28.631,37.1,30.7,24,0.1,1/1/1900,415.2,,1017.2,8,india,72.93,,1.41,,-3.1,77.2172
india,234.18,Feb,17.8,34.1,2.3,28.631,55.4,32.5,25.4,4.1,2/1/1900,702.5,,1014.4,9.7,india,63.41,,1.42,,0.6,77.2172
india,231.01,Mar,24.1,41.1,2.8,28.631,40.7,43.8,22.2,8.1,3/1/1900,337.6,,1010.3,11.7,india,50.52,,1.19,,5.1,77.2172
india,226.46,Apr,30.9,46.1,2.9,28.631,55.4,51.3,23.2,14.1,4/1/1900,298.2,,1005.4,10.9,india,33.28,,1.2,,,77.2172
india,188.26,May,33.6,47.1,3.3,28.631,64.8,51.4,30.4,0.1,5/1/1900,919.4,,1000.7,15.8,india,38.79,,2.15,,-5.5,77.2172
india,187.29,Jun,33.3,49.1,3.4,28.631,63,55,44.4,7.1,6/1/1900,1429.9,,997.9,20.5,india,51.59,,2.86,,3.6,77.2172
india,163.39,Jul,31.2,43.1,3.6,28.631,63,55.4,66.7,15.9,7/1/1900,3032.8,,997.8,24.5,india,69.62,,4.95,,,77.2172
india,181.04,Aug,30.5,39.1,3.3,28.631,63,53.8,61.7,22.1,8/1/1900,3015.3,,1000.1,24.7,india,72.95,,4.4,,,77.2172
india,189.7,Sep,29.4,40.1,3.3,28.631,38.9,56.7,42.3,20.1,9/1/1900,1652.6,,1004.3,22.6,india,69.6,,2.99,,,77.2172
india,197.64,Oct,26.6,39.1,2.5,28.631,63,46.7,10.6,13.6,10/1/1900,114.5,,1010.1,16.5,india,58.06,,0.39,,,77.2172
india,215.22,Nov,20.8,36.1,1.8,28.631,85.3,34.2,11.6,5.1,11/1/1900,50.8,,1014.4,11.7,india,60.08,,0.37,,4,77.2172
india,238.12,Dec,15.3,28.7,1.5,28.631,35.3,28.1,17,1.1,12/1/1900,69.2,,1016.7,8.6,india,68.36,,0.28,,-0.6,77.2172
